LUMMIRESER,Lummi Reservation,48.767362,-122.637845
LYTTONRANC,Lytton Rancheria,37.952622,-122.334378
MAKAHINDIA,Makah Indian Reservation,48.333855,-124.635404
MANCHESTER,Manchester-Point Arena Rancheria,38.935690,-123.682571
MANZANITAR,Manzanita Reservation,32.754717,-116.346112
MARICOPAAK,Maricopa (Ak Chin) Indian Reservation,33.007914,-112.041966
MASHANTUCK,Mashantucket Pequot Reservation,41.466054,-71.974703
MATCHEBENA,Match-e-be-nash-she-wish Band of Pottawatomi Reservation,42.634065,-85.657207
MENOMINEER,Menominee Reservation,44.991304,-88.669251
MESAGRANDE,Mesa Grande Reservation,33.093169,-116.742366
MESCALEROR,Mescalero Reservation,33.176135,-105.583242
MICCOSUKEE,Miccosukee Reservation,26.071467,-80.824111
MIDDLETOWN,Middletown Rancheria,38.728676,-122.625847
MILLELACSR,Mille Lacs Reservation,46.130023,-93.596508
MISSISSIPP,Mississippi Choctaw Reservation,32.816338,-89.246905
MOAPARIVER,Moapa River Indian Reservation,36.570030,-114.742348
MOHEGANRES,Mohegan Reservation,41.486864,-72.090438
MONTGOMERY,Montgomery Creek Rancheria,40.834187,-121.915658
MOORETOWNR,Mooretown Rancheria,39.467069,-121.519734
MORONGORES,Morongo Reservation,33.952831,-116.807853
MUCKLESHOO,Muckleshoot Reservation,47.264299,-122.155259
NAMBEPUEBL,Nambe Pueblo,35.867829,-105.918719
NARRAGANSE,Narragansett Reservation,41.416471,-71.674312
NAVAJO,Navajo Nation Reservation,36.201373,-109.904906
NEZPERCERE,Nez Perce Reservation,46.306187,-116.400289
NISQUALLYR,Nisqually Reservation,47.022995,-122.651780
NOOKSACKRE,Nooksack Reservation,48.824143,-122.214270
NORTHERNCH,Northern Cheyenne Indian Reservation,45.550795,-106.676407
NORTHFORKR,North Fork Rancheria,37.227501,-119.513528
NORTHWESTE,Northwestern Shoshone Reservation,41.945805,-112.234863
OHKAYOWING,Ohkay Owingeh,36.053911,-106.071788
OILSPRINGS,Oil Springs Reservation,42.231299,-78.302818
OMAHARESER,Omaha Reservation,42.096891,-96.530650
ONEIDAINDI,Oneida Indian Nation Reservation,43.071879,-75.695861
ONEIDAWIRE,Oneida (WI) Reservation,44.489587,-88.199731
ONONDAGANA,Onondaga Nation Reservation,42.926455,-76.153235
ONTONAGONR,Ontonagon Reservation,46.973953,-89.103237
OSAGERESER,Osage Reservation,36.624299,-96.408112
PAIUTEUTRE,Paiute (UT) Reservation,37.170176,-113.783270
PALARESERV,Pala Reservation,33.352690,-117.061913
PASCUAPUEB,Pascua Pueblo Yaqui Reservation,32.115687,-111.079515
PASKENTARA,Paskenta Rancheria,39.867388,-122.222833
PAUMAANDYU,Pauma and Yuima Reservation,33.363196,-116.955117
